layer,min,mean,max,std,valid_pixel_count
Delta_NDVI_Pre_to_Mid,-0.9065274964947811,-0.0200472195771118,0.6421654761132216,0.11573981380479306,3193093
Delta_NDVI_Pre_to_Post,-0.8036019136942826,-0.04457066777228578,0.6087414690199912,0.12184162251701787,3193095
Delta_NDWI_Pre_to_Mid,-0.5536088439047722,0.016934471104422616,0.9689155937958797,0.09883770179469253,3193095
Delta_NDWI_Pre_to_Post,-0.5836825897637332,0.023464568255561962,0.8367783040699563,0.1070266684314631,3193092
Delta_BSI_Pre_to_Mid,-0.5700826125433089,-0.016973787946390286,0.48845024191193315,0.058613706400098026,3193059
Delta_BSI_Pre_to_Post,-0.6523924636891457,-0.0029494813258065427,0.4031534400803574,0.06212942201719599,3192830
