threshold,is_env_threshold,rule,n_samples,TP,FP,TN,FN,OA,F1,PA,UA,PA_UA_gap
-0.05,False,Change if delta_ndvi_post < -0.05,54,20,6,19,9,0.7222222222222222,0.7272727272727274,0.6896551724137931,0.7692307692307693,0.07957559681697612
-0.1,False,Change if delta_ndvi_post < -0.1,54,20,2,23,9,0.7962962962962963,0.7843137254901961,0.6896551724137931,0.9090909090909091,0.2194357366771159
-0.15,True,Change if delta_ndvi_post < -0.15,54,19,1,24,10,0.7962962962962963,0.7755102040816326,0.6551724137931034,0.95,0.29482758620689653
-0.2,False,Change if delta_ndvi_post < -0.2,54,18,1,24,11,0.7777777777777778,0.75,0.6206896551724138,0.9473684210526315,0.3266787658802177
-0.25,False,Change if delta_ndvi_post < -0.25,54,17,1,24,12,0.7592592592592593,0.7234042553191489,0.5862068965517241,0.9444444444444444,0.35823754789272033
-0.3,False,Change if delta_ndvi_post < -0.3,54,14,1,24,15,0.7037037037037037,0.6363636363636364,0.4827586206896552,0.9333333333333333,0.45057471264367815
