facility_id,facility_name,facility_risk_level,capacity,pre_5min_km2,post_5min_km2,shrinkage_5min,pre_10min_km2,post_10min_km2,shrinkage_10min
F1,中正國小,中風險,187,24.737134693380817,24.737134693380817,0.0,60.43090091823475,60.43090091823475,0.0
F2,中原國小文中三國中預定地,高風險,85,25.67817149863568,25.67817149863568,0.0,60.01326907871359,60.01326907871359,0.0
F3,忠孝國小,中風險,47,22.393525738380383,22.393525738380383,0.0,62.02495567072512,62.02495567072512,0.0
F4,主權社區活動中心,中風險,72,24.33317345113499,24.33317345113499,0.0,60.74028296843516,60.74028296843516,0.0
F5,國風國中,中風險,800,22.329930215354235,22.329930215354235,0.0,60.99996222857213,60.99996222857213,0.0
