year,landsat_count,s2_count,landsat_ndvi,s2_ndvi,s2_minus_landsat
2018,37,4,0.5506363032762246,0.49448554052882987,-0.05615076274739472
2019,35,83,0.5550728791258873,0.5029507094052896,-0.05212216972059769
2020,39,91,0.5704980621394403,0.5099095373383904,-0.060588524801049926
2021,43,99,0.5611395112324365,0.495433596607332,-0.06570591462510456
2022,54,66,0.5897888824315479,0.5284617269279234,-0.06132715550362455
2023,59,66,0.5675358406727874,0.5166927679483614,-0.05084307272442601
2024,38,85,0.5603166061225477,0.502127493025539,-0.05818911309700869
2025,33,86,0.5418687448556969,0.5100377414150792,-0.03183100344061773
2026,12,34,0.5815912974536475,0.49393701714346344,-0.08765428031018402
