class_value,class,condition,pixel_count,area_ha,area_km2,percentage_of_damaged_area
1,Continued degradation,recovery_ratio < 0,38293.00784313727,3446.3707058823543,34.46370705882354,20.127953594827872
2,Slow recovery,0 <= recovery_ratio < 0.5,71233.78823529414,6411.040941176472,64.11040941176472,37.44261589105633
3,Recovering,0.5 <= recovery_ratio < 1.0,45191.313725490196,4067.2182352941177,40.67218235294118,23.75391009455506
4,Exceeded baseline,recovery_ratio >= 1.0,35529.78431372549,3197.680588235294,31.97680588235294,18.675520419560744
