year,image_count,NDVI,MNDWI,NBR
2000,31,0.5249785220063561,-0.2621223336516154,0.4945813524816271
2001,33,0.518961298635352,-0.22195195840284232,0.5167178316982914
2002,31,0.5135209718815354,-0.2006908754040484,0.5188480172160709
2003,28,0.519372834775988,-0.24511968812122978,0.5036317724564573
2004,34,0.5176464736724526,-0.2195915504734328,0.5259584079699773
2005,27,0.49480039214142785,-0.20792454611261046,0.5042991312679491
2006,30,0.5016992613368401,-0.19507678406701628,0.5085892002556901
2007,22,0.4941501550356995,-0.1751278851060542,0.5277092595437375
2008,37,0.5027723059911113,-0.20991273154977527,0.5059214370679417
2009,36,0.5141349335292664,-0.21441135125978736,0.5181605754962559
2010,25,0.5123699866723739,-0.2010184006359875,0.5237978359906331
2011,17,0.5215836315798066,-0.20400690411250277,0.5098332184701462
2012,14,0.5048322081032018,-0.23553791120395717,0.4848520104049008
2013,26,0.5453051501305993,-0.2839292706600848,0.45641517368755136
2014,34,0.5388826903163558,-0.27405179358084913,0.34030079750704584
2015,38,0.5395775723132501,-0.26475270416695645,0.3912165806543632
2016,33,0.5498529395618593,-0.29429399516593796,0.40988162211254026
2017,33,0.5415772154552858,-0.27836516856948723,0.4583444525245039
2018,37,0.5506363032762244,-0.2704187420085433,0.30029176830788784
2019,35,0.5550728791258875,-0.28466644847720723,0.4317834084694578
2020,39,0.5704980621394401,-0.29736730759111807,0.4238928047292432
2021,43,0.5611395112324362,-0.25354335523705623,0.36835303377440975
2022,54,0.589788882431548,-0.36254404590893013,0.28448259822443717
2023,59,0.5675358406727874,-0.3187909870640429,0.24932399549509
2024,38,0.5603166061225474,-0.3164806550008577,0.13258506909894452
2025,33,0.541868744855697,-0.30328723716306016,0.13101506966722068
2026,14,0.606529169772243,-0.3776489537763069,0.14584863895029682
