class,condition,area_km2,percentage
Greening,slope > 0.001,1466.8953059345379,82.66564187442492
Browning,slope < -0.001,83.79491017185512,4.722191152389785
Stable,-0.001 <= slope <= 0.001,224.60240753308952,12.657278341643687
