,precision,recall,f1-score,support
Water (水體),0.9997888067581837,1.0,0.999894392227268,4734.0
Forest (森林),0.9760956175298805,0.9607843137254902,0.9683794466403162,510.0
Cropland (農地),0.7766497461928934,0.8010471204188482,0.788659793814433,191.0
Bare/Landslide (裸地/崩塌),0.8698630136986302,0.9236363636363636,0.8959435626102292,550.0
Built-up (建物),0.7777777777777778,0.35,0.4827586206896552,60.0
accuracy,0.9770057899090158,0.9770057899090158,0.9770057899090158,0.9770057899090158
macro avg,0.8800349923914732,0.8070935595561404,0.8271271631963802,6045.0
weighted avg,0.9767147066761351,0.9770057899090158,0.9759705654071149,6045.0
