band,band_name,importance
B11,SWIR1,0.2186322816657763
B12,SWIR2,0.20850571390185466
B08,NIR,0.2078302186801516
B02,Blue,0.13512706675021977
B04,Red,0.1303821076354088
B03,Green,0.09952261136658896
