deliverable,path,frame_count,file_size_mb
NDVI time-lapse GIF,c:\Users\97000\CascadeProjects\Remote-Sensing-and-Geospatial-Analysis\HW12\output\bonus2\taroko_ndvi_timelapse.gif,13,0.7378692626953125
Frame metadata CSV,c:\Users\97000\CascadeProjects\Remote-Sensing-and-Geospatial-Analysis\HW12\output\bonus2\bonus2_ndvi_timelapse_frame_metadata.csv,13,
