asset,type,location,W4_terrain_risk,W7_centrality_rank,Barrier Lake Hit,Landslide Hit,Debris Flow Hit,notes
shelter_89,W3 Shelter,,low,,N,N,N,outside event area
shelter_91,W3 Shelter,,low,,N,N,N,outside event area
shelter_95,W3 Shelter,,low,,N,N,N,outside event area
shelter_96,W3 Shelter,,low,,N,N,N,outside event area
shelter_97,W3 Shelter,,high,,N,N,N,outside event area
shelter_98,W3 Shelter,,low,,N,N,N,outside event area
shelter_99,W3 Shelter,,high,,N,N,N,outside event area
shelter_100,W3 Shelter,,low,,N,N,N,outside event area
shelter_101,W3 Shelter,,high,,N,N,N,outside event area
shelter_102,W3 Shelter,,low,,N,N,N,outside event area
shelter_103,W3 Shelter,,high,,N,N,N,outside event area
shelter_104,W3 Shelter,,low,,N,N,N,outside event area
shelter_105,W3 Shelter,,low,,N,N,N,outside event area
shelter_106,W3 Shelter,,high,,N,N,N,outside event area
shelter_107,W3 Shelter,,high,,N,N,N,outside event area
shelter_108,W3 Shelter,,high,,N,N,N,outside event area
shelter_109,W3 Shelter,,high,,N,N,N,outside event area
shelter_110,W3 Shelter,,high,,N,N,N,outside event area
shelter_111,W3 Shelter,,high,,N,N,N,outside event area
shelter_112,W3 Shelter,,high,,N,N,N,outside event area
shelter_113,W3 Shelter,,high,,N,N,N,outside event area
shelter_114,W3 Shelter,,high,,N,N,N,outside event area
shelter_115,W3 Shelter,,high,,N,N,N,outside event area
shelter_116,W3 Shelter,,high,,N,N,N,outside event area
shelter_117,W3 Shelter,,medium,,N,N,N,outside event area
shelter_118,W3 Shelter,,medium,,N,N,N,outside event area
shelter_119,W3 Shelter,,high,,N,N,N,outside event area
shelter_120,W3 Shelter,,low,,N,N,N,outside event area
shelter_121,W3 Shelter,,low,,N,N,N,outside event area
shelter_122,W3 Shelter,,high,,N,N,N,outside event area
shelter_123,W3 Shelter,,low,,N,N,N,outside event area
shelter_124,W3 Shelter,,low,,N,N,N,outside event area
shelter_125,W3 Shelter,,low,,N,N,N,outside event area
shelter_126,W3 Shelter,,low,,N,N,N,outside event area
shelter_127,W3 Shelter,,low,,N,N,N,outside event area
shelter_128,W3 Shelter,,high,,N,N,N,outside event area
shelter_129,W3 Shelter,,high,,N,N,N,outside event area
shelter_130,W3 Shelter,,high,,N,N,N,outside event area
shelter_131,W3 Shelter,,high,,N,N,N,outside event area
shelter_132,W3 Shelter,,low,,N,N,N,outside event area
shelter_133,W3 Shelter,,medium,,N,N,N,outside event area
shelter_134,W3 Shelter,,medium,,N,N,N,outside event area
shelter_135,W3 Shelter,,high,,N,N,N,outside event area
shelter_136,W3 Shelter,,low,,N,N,N,outside event area
shelter_137,W3 Shelter,,medium,,N,N,N,outside event area
shelter_138,W3 Shelter,,low,,N,N,N,outside event area
