rank,rank_raw,period,item_id,datetime,platform,orbit_state,relative_orbit,sar_polarization_available,aoi_total_pixels,aoi_valid_pixels,aoi_invalid_pixels,aoi_valid_percent,search_bbox
1,2,Post-event,S1C_IW_GRDH_1SDV_20251113T215150_20251113T215215_005001_009E5E_rtc,2025-11-13T21:52:02.893246Z,sentinel-1c,descending,105,True,5549182,5548469,713,99.98715125941085,"[121.28, 23.56, 121.52, 23.76]"
2,1,Post-event,S1C_IW_GRDH_1SDV_20251113T215121_20251113T215150_005001_009E5E_rtc,2025-11-13T21:51:35.746491Z,sentinel-1c,descending,105,True,5549182,713,5548469,0.0128487405891535,"[121.28, 23.56, 121.52, 23.76]"
