rank,period,item_id,datetime,scene_cloud_cover_percent,aoi_cloud_percent,aoi_cloud_pixels,aoi_clear_pixels,aoi_total_pixels,platform,tile
1,Pre-event,S2B_MSIL2A_20251016T022559_R046_T51QUG_20251016T042804,2025-10-16T02:25:59.024000Z,2.543064,8.902465264249757,494014,5055168,5549182,Sentinel-2B,51QUG
2,Pre-event,S2B_MSIL2A_20251105T022759_R046_T51QUG_20251105T043218,2025-11-05T02:27:59.024000Z,57.847756,63.020135219929706,3497102,2052080,5549182,Sentinel-2B,51QUG
3,Pre-event,S2C_MSIL2A_20251021T022741_R046_T51QUG_20251021T060814,2025-10-21T02:27:41.025000Z,79.301655,83.41676304723832,4628948,920234,5549182,Sentinel-2C,51QUG
4,Pre-event,S2C_MSIL2A_20251031T024021_R046_T51QUG_20251031T052920,2025-10-31T02:40:21.025000Z,75.485033,86.82256231639187,4817942,731240,5549182,Sentinel-2C,51QUG
5,Pre-event,S2B_MSIL2A_20251026T022709_R046_T51QUG_20251026T042719,2025-10-26T02:27:09.024000Z,84.893656,99.92164610928242,5544834,4348,5549182,Sentinel-2B,51QUG
6,Pre-event,S2A_MSIL2A_20251102T023141_R046_T51QUG_20251102T072107,2025-11-02T02:31:41.024000Z,99.992394,99.99740502293851,5549038,144,5549182,Sentinel-2A,51QUG
7,Pre-event,S2C_MSIL2A_20251110T024011_R046_T51QUG_20251110T052609,2025-11-10T02:40:11.025000Z,99.953008,100.0,5549182,0,5549182,Sentinel-2C,51QUG
