rank,period,item_id,datetime,platform,orbit_state,relative_orbit,sar_polarization_available,search_bbox
1,Post-event,S1C_IW_GRDH_1SDV_20251113T215121_20251113T215150_005001_009E5E_rtc,2025-11-13T21:51:35.746491Z,sentinel-1c,descending,105,True,"[121.28, 23.56, 121.52, 23.76]"
2,Post-event,S1C_IW_GRDH_1SDV_20251113T215150_20251113T215215_005001_009E5E_rtc,2025-11-13T21:52:02.893246Z,sentinel-1c,descending,105,True,"[121.28, 23.56, 121.52, 23.76]"
3,Post-event,S1A_IW_GRDH_1SDV_20251119T215250_20251119T215315_061952_07BF82_rtc,2025-11-19T21:53:02.884675Z,sentinel-1a,descending,105,True,"[121.28, 23.56, 121.52, 23.76]"
4,Post-event,S1C_IW_GRDH_1SDV_20251123T100017_20251123T100042_005140_00A313_rtc,2025-11-23T10:00:29.820780Z,sentinel-1c,ascending,69,True,"[121.28, 23.56, 121.52, 23.76]"
5,Post-event,S1C_IW_GRDH_1SDV_20251125T215120_20251125T215150_005176_00A44D_rtc,2025-11-25T21:51:35.392301Z,sentinel-1c,descending,105,True,"[121.28, 23.56, 121.52, 23.76]"
6,Post-event,S1C_IW_GRDH_1SDV_20251125T215150_20251125T215215_005176_00A44D_rtc,2025-11-25T21:52:02.535345Z,sentinel-1c,descending,105,True,"[121.28, 23.56, 121.52, 23.76]"
7,Post-event,S1A_IW_GRDH_1SDV_20251129T100121_20251129T100146_062091_07C4FB_rtc,2025-11-29T10:01:34.337886Z,sentinel-1a,ascending,69,True,"[121.28, 23.56, 121.52, 23.76]"
