date,year,month,year_month,cloud_percentage
2021-11-11 02:41:00.049,2021,11,2021-11,17.689238
2021-11-11 02:41:07.238,2021,11,2021-11,38.495727
2021-11-16 02:41:03.138,2021,11,2021-11,17.985508
2021-11-21 02:40:50.334,2021,11,2021-11,6.364612
2021-11-21 02:41:04.796,2021,11,2021-11,20.449352
2021-12-06 02:40:59.826,2021,12,2021-12,21.181793
2021-12-11 02:40:49.162,2021,12,2021-12,22.795275
2021-12-16 02:40:43.932,2021,12,2021-12,8.629589
2021-12-16 02:40:58.406,2021,12,2021-12,1.881945
2022-03-01 02:40:53.570,2022,3,2022-03,19.608861
2022-03-01 02:41:08.049,2022,3,2022-03,37.196419
2022-03-11 02:40:54.309,2022,3,2022-03,7.011238
2022-03-11 02:41:08.783,2022,3,2022-03,6.104233
2022-04-15 02:41:00.956,2022,4,2022-04,31.008035
2022-04-25 02:40:44.147,2022,4,2022-04,33.701766
2022-04-25 02:40:58.609,2022,4,2022-04,18.535261
2022-05-30 02:41:12.443,2022,5,2022-05,32.895157
2022-06-19 02:41:01.835,2022,6,2022-06,39.69759
2022-06-24 02:41:09.561,2022,6,2022-06,12.233775
2022-07-09 02:41:03.209,2022,7,2022-07,24.752924
2022-07-09 02:41:17.697,2022,7,2022-07,12.654799
2022-07-14 02:41:08.907,2022,7,2022-07,39.123315
2022-07-24 02:40:55.263,2022,7,2022-07,4.662079
2022-07-24 02:41:09.739,2022,7,2022-07,28.762674
2022-07-29 02:40:59.671,2022,7,2022-07,13.651155
2022-07-29 02:41:14.135,2022,7,2022-07,7.41067
2022-08-08 02:41:01.782,2022,8,2022-08,22.977528
2022-08-13 02:40:53.532,2022,8,2022-08,32.633755
2022-08-13 02:41:07.996,2022,8,2022-08,30.262199
2022-08-23 02:40:50.971,2022,8,2022-08,29.214987
2022-08-23 02:41:05.422,2022,8,2022-08,12.209147
2022-09-17 02:40:59.175,2022,9,2022-09,17.252524
2022-09-22 02:40:51.449,2022,9,2022-09,8.222255
2022-09-22 02:41:05.926,2022,9,2022-09,25.196365
2022-09-27 02:40:57.481,2022,9,2022-09,24.377893
2022-09-27 02:41:11.958,2022,9,2022-09,4.711952
2022-10-02 02:40:49.164,2022,10,2022-10,3.498723
2022-10-02 02:41:03.633,2022,10,2022-10,4.315389
2022-10-27 02:40:53.501,2022,10,2022-10,20.667051
2022-10-27 02:41:07.912,2022,10,2022-10,6.131037
2022-11-11 02:40:49.548,2022,11,2022-11,36.297777
2022-11-11 02:41:04.017,2022,11,2022-11,12.016075
2022-12-21 02:41:03.774,2022,12,2022-12,19.502699
2022-12-26 02:40:48.545,2022,12,2022-12,34.619761
2022-12-26 02:41:03.012,2022,12,2022-12,14.847088
2023-01-30 02:40:47.691,2023,1,2023-01,11.068278
2023-02-24 02:41:02.278,2023,2,2023-02,29.323161
2023-03-01 02:40:51.069,2023,3,2023-03,24.043284
2023-03-01 02:41:05.535,2023,3,2023-03,2.084555
2023-03-06 02:40:46.666,2023,3,2023-03,1.11426
2023-03-06 02:41:01.140,2023,3,2023-03,9.682281
2023-03-11 02:40:54.439,2023,3,2023-03,8.255035
2023-03-11 02:41:08.923,2023,3,2023-03,24.211715
2023-04-10 02:40:52.098,2023,4,2023-04,22.11495
2023-04-10 02:41:06.569,2023,4,2023-04,21.574202
2023-05-05 02:40:50.508,2023,5,2023-05,38.995382
2023-05-05 02:41:04.979,2023,5,2023-05,12.86511
2023-05-10 02:40:52.801,2023,5,2023-05,24.072149
2023-06-19 02:41:09.223,2023,6,2023-06,38.794026
2023-06-24 02:41:07.964,2023,6,2023-06,35.242864
2023-06-29 02:40:55.261,2023,6,2023-06,17.748024
2023-07-04 02:40:55.206,2023,7,2023-07,31.469628
2023-07-04 02:41:09.676,2023,7,2023-07,37.539905
2023-07-09 02:40:55.447,2023,7,2023-07,17.292054
2023-07-09 02:41:09.924,2023,7,2023-07,12.236264
2023-07-14 02:40:55.271,2023,7,2023-07,29.959685
2023-08-13 02:40:55.340,2023,8,2023-08,25.499797
2023-08-28 02:40:54.721,2023,8,2023-08,30.267844
2023-08-28 02:41:09.195,2023,8,2023-08,37.766445
2023-09-12 02:40:54.985,2023,9,2023-09,6.021732
2023-09-12 02:41:09.472,2023,9,2023-09,3.696209
2023-09-22 02:40:51.828,2023,9,2023-09,37.683576
2023-09-22 02:41:06.297,2023,9,2023-09,22.270288
2023-10-02 02:41:06.672,2023,10,2023-10,22.7452
2023-10-12 02:40:48.163,2023,10,2023-10,39.914671
2023-11-06 02:40:52.956,2023,11,2023-11,12.641256
2023-11-06 02:41:07.444,2023,11,2023-11,19.037896
2023-11-21 02:40:46.831,2023,11,2023-11,30.913275
2023-11-21 02:41:01.298,2023,11,2023-11,27.508697
