layer,mean,min,max
pre_eq_NDVI,0.5160095833377132,-0.5175201892852783,1.0
post_eq_NDVI,0.5188799832854266,-0.27748626470565796,0.9348703622817993
post_dam_NDVI,0.5077826055545502,-0.6649746298789978,1.0
delta_NDVI_eq,0.0025231017982349888,-0.9071308076381683,0.605154424905777
delta_NDVI_dam,-0.011507676627521665,-0.8556678583845496,0.8003509640693665
delta_NDVI_total,-0.008049582678010503,-0.8600562922656536,0.5918755233287811
