date,time_start,vv_mean,year,month,year_month
2025-04-05,1743889945000,-9.266088093860503,2025,4,2025-04
2025-04-11,1744408272000,-9.598510232789561,2025,4,2025-04
2025-04-17,1744926745000,-10.009206534705465,2025,4,2025-04
2025-04-23,1745445072000,-9.900401006300706,2025,4,2025-04
2025-04-29,1745963545000,-9.600533604775656,2025,4,2025-04
2025-05-05,1746481873000,-10.650188643285578,2025,5,2025-05
2025-05-11,1747000345000,-8.519642173880058,2025,5,2025-05
2025-05-17,1747518674000,-10.111463401285695,2025,5,2025-05
2025-05-23,1748037144000,-9.719036276738398,2025,5,2025-05
2025-05-29,1748555476000,-8.631695084885006,2025,5,2025-05
2025-06-04,1749073944000,-9.018820469109777,2025,6,2025-06
2025-06-10,1749592276000,-9.875477338926787,2025,6,2025-06
2025-06-16,1750110743000,-10.732192233351782,2025,6,2025-06
2025-06-22,1750629077000,-10.870932151952733,2025,6,2025-06
2025-06-28,1751147542000,-10.271682850410201,2025,6,2025-06
2025-07-04,1751665878000,-9.652746976634708,2025,7,2025-07
2025-07-10,1752184342000,-9.574867822337147,2025,7,2025-07
2025-07-16,1752702678000,-9.951223463799783,2025,7,2025-07
2025-07-22,1753221141000,-9.038285347342974,2025,7,2025-07
2025-07-28,1753739479000,-10.65759325017056,2025,7,2025-07
2025-08-03,1754257941000,-9.900938199801951,2025,8,2025-08
2025-08-09,1754776280000,-10.28032388640814,2025,8,2025-08
2025-08-15,1755294741000,-10.146895906500129,2025,8,2025-08
2025-08-21,1755813080000,-10.487636742885686,2025,8,2025-08
2025-08-27,1756331541000,-9.624583956247415,2025,8,2025-08
2025-09-02,1756849881000,-10.538182393733369,2025,9,2025-09
2025-09-08,1757368341000,-10.388418502147614,2025,9,2025-09
2025-09-14,1757886681000,-11.36496823450223,2025,9,2025-09
2025-09-20,1758405142000,-10.557239636910895,2025,9,2025-09
2025-09-26,1758923481000,-10.037185967190906,2025,9,2025-09
2025-10-02,1759441942000,-9.548025867849045,2025,10,2025-10
